Date;Tavg temperatur (oC);RH_avg kelembapan (%);ss lama penyinaran matahari (jam);ff_avg kecepatan angin (Knot);RR curah hujan (mm);Price
08/05/2019;29,1;73;9;1;0;12050
09/05/2019;29,2;73;7,2;2;0;12050
10/05/2019;29,3;72;8,8;2;0,24;12050
11/05/2019;29,2;72;7,7;2;0;12050
12/05/2019;29;73;8,8;2;0;12050
13/05/2019;28,9;73;8;2;0;12050
14/05/2019;29,8;73;9,4;2;0;12050
15/05/2019;30,2;72;8,8;3;0;12050
16/05/2019;29,4;74;8,1;1;0;12050
17/05/2019;28,4;75;4,8;1;4,76;12050
18/05/2019;28,5;72;4;2;0;12050
19/05/2019;28,5;70;6,7;2;0;12050
20/05/2019;28,6;72;9,3;2;0;12050
21/05/2019;29,3;70;9,5;2;0;12050
22/05/2019;29,7;71;9,6;2;0;12050
23/05/2019;29,7;71;9,5;2;0;12050
24/05/2019;29,3;71;9,5;2;0;12050
25/05/2019;28,6;70;9,5;2;0;12050
26/05/2019;29,1;71;9,6;2;0;12050
27/05/2019;29,2;74;8,8;2;0;12100
28/05/2019;29,3;74;7,8;2;0;12100
29/05/2019;30;72;9;2;0;12100
30/05/2019;28,6;73;9;2;0;12100
31/05/2019;28,7;73;8,8;2;0;12100
01/06/2019;28,3;69;8,5;1;0;12100
02/06/2019;28,4;70;9,6;1;0;12100
03/06/2019;28,3;74;8;1;0;12050
04/06/2019;28,1;76;3;1;0;12050
05/06/2019;28,8;74;1;3;0;12050
06/06/2019;28,7;75;8,8;2;0;12050
07/06/2019;28,8;76;8,2;2;0;12050
08/06/2019;28,7;71;8,2;1;0;12050
09/06/2019;28,7;69;7,8;2;0;12050
10/06/2019;28,9;68;8;2;0;12050
11/06/2019;28,8;69;9,3;2;0;12100
12/06/2019;28,8;67;7,9;1;0;11950
13/06/2019;28,7;73;9,3;1;0;12100
14/06/2019;29,4;73;1,8;2;12,76;12100
15/06/2019;29,1;73;1,2;2;0;12100
16/06/2019;27,7;72;8;2;0;12100
17/06/2019;27,4;71;9,1;2;0;12100
18/06/2019;27,6;74;8,1;2;0;12100
19/06/2019;27,4;70;4;1;0;12100
20/06/2019;27,4;70;4,9;1;0;12100
21/06/2019;27,4;68;4,8;2;0;12100
22/06/2019;27,4;75;8;1;0;12100
23/06/2019;28;69;8;2;0;12100
24/06/2019;27,6;68;4,2;2;0;12100
25/06/2019;27,7;70;6,5;2;0;12100
26/06/2019;28,1;70;3,6;2;0;12100
27/06/2019;28;70;3,2;1;0;12100
28/06/2019;27,3;66;6,2;1;0;12100
29/06/2019;26,4;68;8,2;2;0;12100
30/06/2019;26,5;66;7,8;2;0;12100
01/07/2019;26,7;70;8;2;0;12050
02/07/2019;27,8;69;7;1;0;12050
03/07/2019;28,9;69;7,6;2;0;12050
04/07/2019;28,6;78;7,7;2;0;12050
05/07/2019;28,8;78;3,4;2;1,2;12050
06/07/2019;27,9;74;6,5;3;0,5;12050
07/07/2019;28,4;68;8,1;2;0;12050
08/07/2019;27,4;68;8;2;0;12050
09/07/2019;26,7;70;7,9;2;0;12050
10/07/2019;27,6;68;8,1;2;0;12100
11/07/2019;27,5;70;7,9;2;0;12100
12/07/2019;27,8;68;7,6;2;0;12100
13/07/2019;27,6;68;8,5;2;0;12100
14/07/2019;25,6;71;8;2;0;12100
15/07/2019;26,7;65;9,7;2;0;12050
16/07/2019;27,2;66;9;2;0;12050
17/07/2019;27;69;9,5;2;0;12050
18/07/2019;28,3;64;9,8;2;0;12050
19/07/2019;28,1;72;9,5;2;0;12050
20/07/2019;28,7;72;0,2;3;0;12050
21/07/2019;28,4;70;8,2;2;0;12050
22/07/2019;27,6;67;9,9;2;0;12100
23/07/2019;27,7;72;9,8;2;0;12100
24/07/2019;27,7;70;9,8;2;0;12100
25/07/2019;26,9;69;7,1;2;0;12100
26/07/2019;28,2;69;9,8;2;0;12100
27/07/2019;27,6;73;9,7;2;0;12100
28/07/2019;27,8;70;8,5;2;0;12100
29/07/2019;27,2;67;8,3;2;0;12100
30/07/2019;27,7;69;9,6;2;0;12050
31/07/2019;27,1;66;9,3;2;0;12050
01/08/2019;27,3;67;8,8;2;0;12050
02/08/2019;27,8;68;9,3;2;0;12050
03/08/2019;26,6;69;9,4;2;0;12050
04/08/2019;27,2;63;9;2;0;12050
05/08/2019;26,7;64;9,2;2;0;12100
06/08/2019;26,8;63;9;2;0;12100
07/08/2019;26,8;63;8,9;2;0;12100
08/08/2019;27;65;8,5;2;0;12100
09/08/2019;27,7;66;8,8;3;0;12100
10/08/2019;27,8;64;8,8;3;0;12100
11/08/2019;27,6;70;8,5;2;0;12100
12/08/2019;27,9;70;9,2;4;0;12100
13/08/2019;29,3;68;8,2;4;0;12100
14/08/2019;29,1;68;9,7;3;0;12100
15/08/2019;28,5;72;9,2;3;0;12100
16/08/2019;27,8;70;7,1;2;0;12100
17/08/2019;27,7;66;7,4;2;0;12100
18/08/2019;27,7;62;10;2;0;12100
19/08/2019;27,9;63;8,8;2;0;12100
20/08/2019;28,7;61;9,8;2;0;12100
21/08/2019;28,8;68;8,8;3;0;12100
22/08/2019;29,4;66;9,7;2;0;12100
23/08/2019;27,7;68;9,4;2;0;12100
24/08/2019;28,1;67;9,5;2;0;12100
25/08/2019;28,3;68;9,2;2;0;12100
26/08/2019;28,9;66;9,6;2;0;12100
27/08/2019;28,6;67;8,2;2;0;12100
28/08/2019;27,8;66;7,7;3;0;12100
29/08/2019;27,8;68;7;3;0;12100
30/08/2019;27,5;66;9,4;3;0;12100
31/08/2019;28;64;9,3;3;0;12100
01/09/2019;28;66;9,2;2;0;12100
02/09/2019;28,4;66;9,2;2;0;12050
03/09/2019;28,9;66;9,2;2;0;12050
04/09/2019;27,5;64;8,8;3;0;12050
05/09/2019;27,7;61;8,8;2;0;12050
06/09/2019;28,2;61;8,6;2;0;12050
07/09/2019;27,9;66;8,9;2;0;12050
08/09/2019;28,2;64;8,8;2;0;12050
09/09/2019;29;60;8,6;3;0;12050
10/09/2019;30,7;54;9;2;0;12050
11/09/2019;28,5;67;8,7;2;0;12050
12/09/2019;27,4;62;8,5;3;0;12050
13/09/2019;27,8;66;8,6;2;0;12050
14/09/2019;28,1;64;8,7;3;0;12050
15/09/2019;28,2;67;8,7;3;0;12050
16/09/2019;29,2;62;8,6;3;0;12050
17/09/2019;29;66;8,8;3;0;12050
18/09/2019;28,9;66;8,3;2;0;12050
19/09/2019;28,4;67;8,8;3;0;12050
20/09/2019;28,6;63;8,6;2;0;12050
21/09/2019;28,5;66;8,7;2;0;12050
22/09/2019;28,5;66;8,5;2;0;12050
23/09/2019;28,4;66;8,8;3;0;12050
24/09/2019;30,1;64;8,7;3;0;12050
25/09/2019;29,5;64;9;3;0;12050
26/09/2019;30,5;64;8,8;2;0;12050
27/09/2019;30,1;63;8;2;0;12050
28/09/2019;30,3;64;7,6;3;0;12050
29/09/2019;29,9;63;8,8;2;0;12050
30/09/2019;29,2;62;9;2;0;12050
01/10/2019;29;63;9,2;2;0;12050
02/10/2019;29,9;64;9,2;3;0;12050
03/10/2019;30,3;64;8,7;2;0;12050
04/10/2019;30,1;59;9;2;0;11900
05/10/2019;29,7;55;8,8;3;0;11900
06/10/2019;29,2;61;8,8;2;0;11900
07/10/2019;30;63;9;2;0;11900
08/10/2019;30,7;60;8,7;2;0;11950
09/10/2019;30,1;68;8,7;3;0;11950
10/10/2019;30,7;64;9;3;0;11950
11/10/2019;30,8;60;9,3;2;0;11950
12/10/2019;30,2;61;9;1;0;11950
13/10/2019;30,4;63;9;1;0;11950
14/10/2019;30,8;59;8,6;2;0;11950
15/10/2019;30,4;64;8,8;2;0;11950
16/10/2019;30,2;68;9,1;2;0;11950
17/10/2019;29,8;62;9,1;2;0;11950
18/10/2019;30,8;60;8,5;2;0;11950
19/10/2019;31;62;9,4;2;0;11950
20/10/2019;30,5;64;9,4;3;0;11950
21/10/2019;30,7;60;8,6;3;0;11950
22/10/2019;31,3;61;9,9;3;0;11950
23/10/2019;30,8;65;9,5;2;0;11950
24/10/2019;30,9;57;9,2;3;0;11950
25/10/2019;30,5;60;9;2;0;11950
26/10/2019;30,8;61;9,6;2;0;11950
27/10/2019;30,9;62;9,6;2;0;11950
28/10/2019;31,6;60;9,6;2;0;11950
29/10/2019;31,8;58;9,6;2;0;11950
30/10/2019;31,5;58;9;3;0;11950
31/10/2019;31,7;62;9,6;1;0;11950
01/11/2019;30,3;69;7;1;1;11950
02/11/2019;28,3;79;1,9;1;0;11950
03/11/2019;29,9;69;2;1;0,6;11950
04/11/2019;31,1;62;5,3;2;0;11900
05/11/2019;31;64;8,7;1;0;11900
06/11/2019;30,5;64;8,8;1;0;11900
07/11/2019;31,6;59;9;2;0;11900
08/11/2019;32,2;60;9,4;1;0;11900
09/11/2019;32,4;59;9,7;2;0;11900
10/11/2019;31,9;60;9,2;2;0;11900
11/11/2019;32,1;62;9,5;2;0;11900
12/11/2019;31;64;8,4;2;0;11900
13/11/2019;30,1;74;5;2;0;11900
14/11/2019;31;72;1,5;1;6,86;11900
15/11/2019;31,9;58;8,4;2;0;11900
16/11/2019;31,6;59;9,4;2;0;11900
17/11/2019;31,9;61;9,4;3;0;11900
18/11/2019;32,1;60;9,6;2;0;11900
19/11/2019;31,6;65;9,7;1;0;11950
20/11/2019;31,9;60;5,1;1;0;11950
21/11/2019;31,3;64;8;2;0;11950
22/11/2019;31,7;60;8,7;1;0;11950
23/11/2019;32,4;60;8,9;2;0;11950
24/11/2019;32,1;62;9,1;1;0;11950
25/11/2019;32;62;9;1;0;11900
26/11/2019;31,3;65;7,5;2;0;11900
27/11/2019;30,4;73;9,7;2;15,2;11900
28/11/2019;31,7;63;4,4;2;0;11950
29/11/2019;31,7;63;7,4;2;0;11950
30/11/2019;32,3;64;10;2;0;11950
01/12/2019;31,6;65;8,4;2;0;11950
02/12/2019;31,9;71;9,6;1;0;11950
03/12/2019;31,6;68;7,7;2;0;11950
04/12/2019;31,7;64;9;1;1;11950
05/12/2019;30,2;76;7,2;1;8;11950
06/12/2019;29,5;74;1,7;1;0;11950
07/12/2019;31,4;66;5,3;1;0;11950
08/12/2019;31,7;64;6,2;2;0;11950
09/12/2019;31,6;68;9,8;1;0;11950
10/12/2019;30,8;71;7,7;1;7,7;11950
11/12/2019;31,5;66;4,6;1;0;11950
12/12/2019;30,4;68;6;1;0;11950
13/12/2019;30,9;66;3,3;1;0;11950
14/12/2019;30,6;68;4,3;1;0;11950
15/12/2019;29,5;70;5,4;1;0;11950
16/12/2019;29,5;74;3,2;1;0;11950
17/12/2019;29,3;74;2;1;0,4;11950
18/12/2019;30,4;72;3,5;1;1,4;11950
19/12/2019;31,7;68;7,2;1;0;11950
20/12/2019;30,6;70;9,2;1;0;11950
21/12/2019;31,2;71;9,7;1;4,8;11950
22/12/2019;29,6;76;9;1;3,9;11950
23/12/2019;29,5;74;3,5;1;0;11950
24/12/2019;29,7;76;4,5;1;17;11950
25/12/2019;29;79;6,5;1;0;11950
26/12/2019;28,7;80;5,2;1;14,5;11950
27/12/2019;28,9;81;3,8;1;0;11950
28/12/2019;28,9;79;1,4;2;13;11950
29/12/2019;29,9;76;8,5;1;0;11950
30/12/2019;29,4;76;4,2;1;0;11950
31/12/2019;29,3;78;4,7;1;1,5;12050
01/01/2020;28,8;79;3,7;0;0,88;12050
02/01/2020;28,9;77;0,8;1;1,2;12050
03/01/2020;28,7;81;2,8;1;0;12050
04/01/2020;28,3;81;3,6;1;5,4;12050
05/01/2020;28,5;81;0;2;1,4;12050
06/01/2020;28,2;80;4,2;1;16,2;12050
07/01/2020;28,7;82;8,4;1;32,13;12050
08/01/2020;28,4;82;6;1;1,5;11950
09/01/2020;28,2;81;1,2;1;10;11950
10/01/2020;28,2;84;4,8;1;37;11950
11/01/2020;28,4;78;3,3;1;3,2;11950
12/01/2020;29,7;73;2,8;1;4;11950
13/01/2020;29,1;77;3;2;0,96;11950
14/01/2020;29,8;76;5,3;1;0;12000
15/01/2020;29;79;7,1;1;0;12000
16/01/2020;29,4;78;4;1;2,5;12000
17/01/2020;29,6;75;5,9;1;14,18;12000
18/01/2020;30,2;72;8;1;0,8;12000
19/01/2020;29,9;77;7,6;1;26,7;12000
20/01/2020;29,2;80;5,4;1;0;12000
21/01/2020;28,9;81;4,1;1;6,2;12000
22/01/2020;31;71;4,7;1;0;12000
23/01/2020;29,5;80;8,5;1;0;12000
24/01/2020;29,8;76;1,5;1;1,5;12000
25/01/2020;29,6;77;3,8;1;6,4;12000
26/01/2020;29,8;73;5,8;1;0;12000
27/01/2020;29,7;78;9,5;1;0;12000
28/01/2020;30,6;75;2;1;1;12000
29/01/2020;30,1;75;6,5;1;14,14;12000
30/01/2020;29,3;77;6,9;1;9,3;12000
31/01/2020;29;78;4,4;1;10,04;12000
01/02/2020;29;81;4,5;0;28;12000
02/02/2020;28,2;82;4,5;1;32,13;12000
03/02/2020;28,5;80;6,3;1;0;12000
04/02/2020;29,1;79;7,6;1;0;12000
05/02/2020;29,7;78;8;1;9,6;12000
06/02/2020;29,5;76;8;1;0,8;12000
07/02/2020;28,6;82;8,3;1;2,5;12000
08/02/2020;28;84;3;1;33,2;12000
09/02/2020;29,4;80;2,7;1;2,5;12000
10/02/2020;29;76;0,8;1;9,72;12000
11/02/2020;28,5;83;7,6;1;21,7;12000
12/02/2020;28,9;74,61;6,12;1,68;6,14;12000
13/02/2020;29,5;78;3,5;1;0,4;12000
14/02/2020;29,4;77;5;1;0;12000
15/02/2020;29;78;2,4;1;0,2;12000
16/02/2020;28,8;79;5,1;1;17,1;12000
17/02/2020;27,7;85;8,3;1;22,5;12000
18/02/2020;27,4;82;4,8;1;16,1;12000
19/02/2020;28,4;83;3,1;1;0;12000
20/02/2020;27,5;84;4,6;1;2,5;12000
21/02/2020;28,4;82;2,5;1;0;12000
22/02/2020;28,3;85;6;1;31,3;12000
23/02/2020;28,8;83;7;1;33;12000
24/02/2020;29,2;81;7,5;1;20;12000
25/02/2020;28,7;81;6,4;1;0;12000
26/02/2020;28,6;84;7,2;1;33,5;12050
27/02/2020;28,9;82;2,2;1;32,4;12050
28/02/2020;28,2;85;4;1;31,1;12050
29/02/2020;28,9;83;7,4;1;32,13;12050
01/03/2020;28,1;85;7,5;1;0;12050
02/03/2020;29,4;80;2;1;1,5;12050
03/03/2020;28,8;82;6,7;1;7,5;12050
04/03/2020;27,3;89;7;1;4,5;12050
05/03/2020;28,1;84;4;1;42,9;12050
06/03/2020;28,3;81;1;1;1,6;12050
07/03/2020;28,2;82;6,2;1;10,1;12050
08/03/2020;27,8;86;5,5;1;32,13;12050
09/03/2020;28,3;84;4,8;1;31;12050
10/03/2020;28,9;78;6,8;2;44,2;12050
11/03/2020;30,1;79;6,7;2;0;12050
12/03/2020;30,4;77;6,2;1;0;12050
13/03/2020;29,4;79;8,4;1;23,04;12050
14/03/2020;28,9;81;5,7;0;40,5;12050
15/03/2020;29,3;83;4,6;1;8,5;12050
16/03/2020;29,5;76;2,5;1;25,8;12050
17/03/2020;29,7;76;7;2;28,3;12050
18/03/2020;27,6;84;7,6;1;24;12050
19/03/2020;28,6;80;4,4;1;2;12050
20/03/2020;28,8;80;7,3;1;4,42;12050
